name,url
ABB,https://global.abb/group/en/sustainability/we-enable-a-low-carbon-society
Charoen Pokphand Foods,https://www.cpfworldwide.com/en/media-center/sustainability-green-business-model
Eiffage,https://licence.publishpaper.com/publications/fc40ed19-f854-480d-9b6b-db8b91b0ee11/?ts=ZnVuY3Rpb24gcmFuZG9tKCkgeyBbbmF0aXZlIGNvZGVdIH0=#page-1
ICA Gruppen AB,https://www.icagruppen.se/en/archive/press-archive/2021/ica-exceeds-its-climate-targets/
Twitter,https://blog.twitter.com/en_us/topics/company/2022/accelerating-our-climate-commitments-on-earth-day
Visa,https://usa.visa.com/visa-everywhere/blog/bdp/2021/04/15/sustainable-commerce-and-1618453815474.html
Berry Global Group,https://www.berryglobal.com/sustainability/environment
Bureau Veritas,https://group.bureauveritas.com/group/shaping-better-world/shaping-better-environment
Lindt & Sprungli,https://www.lindt-spruengli.com/press-releases-and-news/lindt-spruengli-sustainability-report-2020/
S&P Global,https://www.spglobal.com/esg/insights/the-journey-to-net-zero-at-sp-global
Telstra,https://exchange.telstra.com.au/carbon-neutral/
Valeo,https://www.valeo.com/fr/valeo-sengage-a-atteindre-la-neutralite-carbone-en-2050-et-aura-deja-fait-45-du-chemin-dici-a-2030/
Asahi  Holdings,https://www.asahigroup-holdings.com/en/csr/environment/climatechange.html
Crown Holdings,https://www.prnewswire.com/news-releases/crown-elevates-emissions-reduction-initiatives-by-signing-the-climate-pledge-301380743.html
Philip Morris International,https://www.pmi.com/sustainability/our-2025-roadmap
Publicis Groupe,https://rse2019.publicisgroupe.com/en/environnement
Accenture,https://www.accenture.com/gb-en/about/responsible-business/environment
Lafargeholcim,https://www.holcim.com/our-co2-emissions-reduction
Longi Green Energy Technology,https://en.longi.com/index.php?m=content&c=index&a=lists&catid=156
National Grid,https://www.nationalgrid.com/stories/journey-to-net-zero/national-grids-net-zero-commitment
Reckitt Benckiser,https://www.reckitt.com/sustainability/healthier-planet/
Tech Mahindra,https://www.techmahindra.com/en-in/tech-mahindra-signs-un-global-compact-initiative-statement-on-climate-action/
Workday,https://www.workday.com/en-gb/company/corporate-responsibility/sustainability.html
Mercedes-Benz Group,https://group.mercedes-benz.com/sustainability/climate/ctap.html
General Mills,https://www.generalmills.com/en/Responsibility/Sustainability/climate-change
Kirin Holdings,https://www.kirinholdings.co.jp/english/csv/env/climatechange.html
TotalEnergies,https://sustainable-performance.totalenergies.com/en/our-challenges/environment-and-climate/climate
United Utilities,https://www.unitedutilities.com/corporate/newsroom/latest-news/united-utilities-plans-for-net-zero-carbon-by-2030/
Beiersdorf,https://www.beiersdorf.com/newsroom/press-releases/all-press-releases/2019/12/17-beiersdorf-implements-ambitious-climate-target
Bharti Airtel,https://www.airtel.in/sustainability-file/our-blueprint-for-social-inclusion
Gap,https://www.gapinc.com/en-us/values/sustainability/environment/energy-climate
L'Oréal,https://www.loreal.com/en/commitments-and-responsibilities/for-the-planet/fighting-climate-change/
Nike,https://about.nike.com/en/newsroom/reports/fy22-nike-inc-impact-report
Novozymes,https://www.novozymes.com/en/news/news-archive/2021/11/novozymes-takes-on-climate-change-ambitious-targets-big-investments-sustainable-innovations
DSM,https://www.dsm.com/corporate/sustainability/climate-energy/improving-our-carbon-footprint.html
Ecolab,https://en-uk.ecolab.com/corporate-responsibility/2030-impact-goals
Target,https://corporate.target.com/corporate-responsibility/planet/climate
UPM-Kymmene,"https://www.upm.com/responsibility/climate-actions/#:~:text=Our%20ambitious%20goal%20is%20to,the%202018%20level%20by%202030."
Givaudan,https://www.givaudan.com/sustainability/nature/climate-action
Tesco,https://www.tescoplc.com/news/2020/from-solar-farms-to-electric-delivery-fleets-tesco-takes-action-to-hit-net-zero-in-uk-by-2035/
VF,https://www.vfc.com/responsibility/planet/climate
Danone,https://www.danone.com/impact/planet/towards-carbon-neutrality.html
Iberdrola,https://www.iberdrola.com/sustainability/committed-sustainable-development-goals/sdg-13-climate-action
Johnson & Johnson,https://www.jnj.com/environmental-sustainability/climate-and-energy-action
Kesko,"https://www.kesko.fi/en/media/news-and-releases/news/2020/k-group-raises-climate-goals-to-a-new-level-carbon-neutral-by-2025-zero-emissions-by-2030/#:~:text=We%20will%20systematically%20reduce%20emissions,and%20transports%20by%20year%202030.&text=Our%20objective%20is%20to%20eventually,President%20and%20CEO%20of%20Kesko"
Kuehne & Nagel International,https://home.kuehne-nagel.com/-/company/corporate-social-responsibility/carbon-offset
News,https://newscorp.com/news-corp-sustainability/
Signify,https://www.results.philips.com/publications/ar20
Qantas Airways,https://www.qantas.com/gb/en/qantas-group/acting-responsibly/our-planet.html
Safaricom,https://www.safaricom.co.ke/sustainabilityreport_2018/ebook/44/
Sodexo,https://www.sodexo.com/home/finance/presentations-and-publications/integrated-report.html
Swisscom,https://www.swisscom.ch/en/about/news/2021/10/28-netto-null-ziel-2025.html#ms-multipageStep-newsletter
Walmart,https://corporate.walmart.com/esgreport/esg-issues/climate-change
Wipro,https://www.wipro.com/newsroom/press-releases/2021/wipro-to-reach-net-zero-greenhouse-gas-emissions-by-2040/
ACCIONA S.A.,https://www.acciona.com/our-purpose/sustainability/climate-emergency/?_adin=0183579827
Atos,https://atos.net/en/lp/integrated-report-2019/our-environment
Electrolux,https://www.electroluxgroup.com/sustainabilityreports/2021/key-priorities-and-progress-2021/climate-goals/
Ono Pharmaceutical Co,https://sustainability.ono-pharma.com/en/themes/106
Ricoh Co,https://www.ricoh.com/sustainability/environment/strategy/target
Trane Technologies,https://www.tranetechnologies.com/en/index/sustainability/sustainability-reports/2019-esg-report/environment/emissions-refrigerants.html
Best Buy Co,https://corporate.bestbuy.com/best-buy-signs-the-climate-pledge-accelerating-sustainability-goals/
AT&T,https://about.att.com/csr/home/reporting/issue-brief/climate-change.html
Volkswagen,https://www.volkswagen-group.com/de/publikationen/unternehmensberichte/association-climate-review-2023-englisch-1810
Allianz,https://www.allianz.com/en/press/news/commitment/environment/220429_Allianz-reinforces-its-commitment-to-net-zero-strategy.html
HSBC,https://www.hsbc.com/news-and-media/media-releases/2022/hsbc-announces-net-zero-steps
Novartis,https://www.novartis.com/our-company/corporate-responsibility/environmental-sustainability/climate
Roche Holding,https://www.roche.com/sustainability/environment/our_she_goals_and_performance.htm
MetLife,https://www.metlife.com/sustainability/MetLife-sustainability/climate/energy-emissions/
American Express,https://www.americanexpress.com/en-us/company/corporate-sustainability/ESG/reporting-resources/
Banco Bradesco,https://api.mziq.com/mzfilemanager/v2/d/80f2e993-0a30-421a-9470-a4d5c8ad5e9f/0d30a187-4bf4-4aaa-a636-906e32b80643?origin=2
SANOFI,https://www.sanofi.com/en/our-responsibility/environmental-sustainability
Bank of Montreal,https://newsroom.bmo.com/2021-03-10-BMO-declares-climate-ambition
Generali,https://www.generalicee.com/article/news/generali-updates-its-strategy-for-climate-protection
Capital One Financial,https://www.capitalone.com/about/newsroom/climate-change-journey-2030/
State Bank of India,https://economictimes.indiatimes.com/industry/banking/finance/banking/sbi-announces-steps-to-go-carbon-neutral-by-2030/articleshow/65855255.cms?from=mdr
Southern Company,https://www.southerncompany.com/sustainability/net-zero-and-environmental-priorities/net-zero-transition.html
BlackRock,https://www.blackrock.com/corporate/investor-relations/blackrock-client-letter
National Australia Bank (NAB),https://www.nab.com.au/about-us/social-impact/environment/climate-change
ING Group,https://www.ing.com/Sustainability/The-world-around-us-1/Reporting.htm
